Date,High,Low,Open,Close,Volume,Adj Close,ma7,ma30,ma90,upper_bollinger_band,lower_bollinger_band,daily_returns,sharpe
2020-06-27,228.59828186035156,219.47267150878906,222.91448974609375,225.34716796875,6205925718.0,225.34716796875,,,,,,0.0,
2020-06-28,229.90321350097656,222.25498962402344,225.36143493652344,228.1948699951172,6726164653.0,228.1948699951172,,,,,,0.012636955023823893,0.011974557002894704
2020-06-29,229.476806640625,224.815185546875,227.9684295654297,226.31500244140625,6094093001.0,226.31500244140625,,,,,,-0.008237992176384878,0.0040696407535996595
2020-06-30,232.75611877441406,224.8357391357422,226.13458251953125,231.11341857910156,6463737443.0,231.11341857910156,,,,,,0.021202377597294486,0.02424787730268644
2020-07-01,232.39688110351562,225.4619598388672,231.28890991210938,229.39219665527344,6212210566.0,229.39219665527344,,,,,,-0.00744752050491182,0.017009549449770636
2020-07-02,229.6293182373047,224.91397094726562,229.31895446777344,225.38706970214844,5109032700.0,225.38706970214844,,,,,,-0.017459734949675898,0.00016778063361475346
2020-07-03,230.05413818359375,225.13331604003906,225.28848266601562,229.07411193847656,5228310135.0,229.07411193847656,227.83197675432478,,,,,0.016358712330749814,0.015671926937854457
2020-07-04,229.85671997070312,224.54449462890625,228.9761962890625,227.6645965576172,5292172429.0,227.6645965576172,228.1630379813058,,,,,-0.006153097654430395,0.00974470009572137
2020-07-05,242.13270568847656,227.02952575683594,227.6850128173828,241.51022338867188,8782917553.0,241.51022338867188,230.0652313232422,,,,,0.06081589777420948,0.06797624202835281
2020-07-06,242.68185424804688,234.21865844726562,240.97259521484375,239.07553100585938,6441497597.0,239.07553100585938,231.88816397530692,,,,,-0.01008111519525301,0.057735118612919044
2020-07-07,248.30886840820312,238.39837646484375,239.15997314453125,246.67001342773438,9892586411.0,246.67001342773438,234.11053466796875,,,,,0.03176603807977685,0.08968190299776833
2020-07-08,247.2916717529297,239.89865112304688,246.748291015625,243.01596069335938,8429099199.0,243.01596069335938,236.0567866734096,,,,,-0.014813526312331904,0.07431015743104487
2020-07-09,242.8837890625,236.73052978515625,242.86801147460938,240.9849853515625,7281370522.0,240.9849853515625,238.2850603376116,,,,,-0.008357374289335584,0.06576686837689104
2020-07-10,241.52748107910156,238.33123779296875,241.04478454589844,239.4581756591797,5643067316.0,239.4581756591797,239.76849801199776,,,,,-0.006335704650459517,0.05934461098656314
2020-07-11,243.31114196777344,237.7702178955078,239.4596405029297,242.13169860839844,6596394718.0,242.13169860839844,241.8352268763951,,,,,0.011164884814891307,0.07059046422136511
2020-07-12,244.31051635742188,238.2323760986328,242.18186950683594,239.60458374023438,7787751468.0,239.60458374023438,241.562992640904,,,,,-0.010436943542246335,0.0599604411635991
2020-07-13,242.0037841796875,237.7961883544922,239.97561645507812,240.21148681640625,7357458555.0,240.21148681640625,241.72527204241072,,,,,0.0025329360010484248,0.06251325424039457
